CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
06150;#N/D;Médico ortopedista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06152;#N/D;Médico otorrinolaringologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06155;#N/D;Médico pediatra;Demais Ocupações;Demais Ocupações;Demais Ocupações
06157;#N/D;Médico pneumotisiologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06160;#N/D;Médico proctologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06162;#N/D;Médico psiquiatra;Demais Ocupações;Demais Ocupações;Demais Ocupações
06165;#N/D;Médico radiologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06167;#N/D;Médico radioterapeuta;Demais Ocupações;Demais Ocupações;Demais Ocupações
06170;#N/D;Médico urologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06172;#N/D;Patologista clínico;Demais Ocupações;Demais Ocupações;Demais Ocupações
06175;#N/D;Médico angiologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06177;#N/D;Médico de medicina esportiva;Demais Ocupações;Demais Ocupações;Demais Ocupações
06180;#N/D;Cirurgião plástico;Demais Ocupações;Demais Ocupações;Demais Ocupações
06190;252105;Outros médicos;Demais Ocupações;Demais Ocupações;Demais Ocupações
06310;223208;Cirurgião-dentista, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
06330;223272;Cirurgião-dentista (saúde pública);Demais Ocupações;Demais Ocupações;Demais Ocupações
06335;223268;Cirurgião-dentista  (traumatologia buco-máxilo-facial);Demais Ocupações;Demais Ocupações;Demais Ocupações
06340;223212;Cirurgião-dentista (endodontia);Demais Ocupações;Demais Ocupações;Demais Ocupações
06345;223240;Cirurgião-dentista (ortodontia);Demais Ocupações;Demais Ocupações;Demais Ocupações
06350;223244;Cirurgião-dentista (patologia bucal);Demais Ocupações;Demais Ocupações;Demais Ocupações
06355;223236;Cirurgião-dentista (pediatria);Demais Ocupações;Demais Ocupações;Demais Ocupações
06360;223256;Cirurgião-dentista (prótese);Demais Ocupações;Demais Ocupações;Demais Ocupações
06365;223260;Cirurgião-dentista (radiologia);Demais Ocupações;Demais Ocupações;Demais Ocupações
06370;223248;Cirurgião-dentista (periodontia);Demais Ocupações;Demais Ocupações;Demais Ocupações
